start,end,script
00:00:23.899,00:00:27.862,WE'RE TIRED OF PYROTECHNICS AND SPECIAL EFFECTS.
00:00:27.903,00:00:30.364,WHILE THE WORLD HE INHABITS...
00:00:30.405,00:00:40.875,"IS, IN SOME RESPECTS, COUNTERFEIT, THERE'S NOTHING FAKE ABOUT TRUMAN HIMSELF-- NO SCRIPTS, NO CUE CARDS."
00:00:40.916,00:00:45.044,"IT ISN'T ALWAYS SHAKESPEARE, BUT IT'S GENUINE."
00:00:45.086,00:00:46.630,IT'S A LIFE.
00:00:49.842,00:00:52.761,I'M NOT GOING TO MAKE IT.
00:00:52.803,00:00:55.138,YOU'RE GOING TO HAVE TO GO ON WITHOUT ME.
00:01:00.394,00:01:02.730,"NO WAY, MISTER."
00:01:02.771,00:01:06.942,"YOU'RE GOING TO THE TOP OF THIS MOUNTAIN, BROKEN LEGS AND ALL."
00:01:10.863,00:01:14.616,WE FIND MANY VIEWERS LEAVE HIM ON ALL NIGHT FOR COMFORT.
00:01:16.410,00:01:18.203,"YOU'RE CRAZY, YOU KNOW THAT?"
00:01:21.498,00:01:25.711,"WELL, FOR ME, THERE IS NO DIFFERENCE BETWEEN A PRIVATE LIFE AND A PUBLIC LIFE."
00:01:25.753,00:01:28.756,"MY LIFE...IS MY LIFE, IS THE TRUMAN SHOW."
00:01:28.797,00:01:31.717,THE TRUMAN SHOW IS...
00:01:31.759,00:01:33.092,IT'S A NOBLE LIFE.
00:01:33.134,00:01:34.678,IT IS...
00:01:36.764,00:01:38.306,A TRULY BLESSED LIFE.
00:01:38.348,00:01:42.269,"YEAH, TELL ME SOMETHING I DON'T KNOW."
00:01:42.310,00:01:46.147,"ALL RIGHT. PROMISE ME ONE THING, THOUGH."
00:01:46.189,00:01:53.280,"IF I DIE BEFORE I REACH THE SUMMIT, YOU'LL USE ME AS AN ALTERNATIVE SOURCE OF FOOD."
00:01:53.321,00:01:54.990,EW. GROSS.
00:01:58.159,00:02:00.662,IT'S ALL TRUE.
00:02:00.704,00:02:01.956,NOTHING HERE IS FAKE.
00:02:01.997,00:02:04.708,NOTHING YOU SEE ON THIS SHOW IS FAKE.
00:02:04.750,00:02:06.293,IT'S MERELY CONTROLLED.
00:02:14.175,00:02:16.553,"EAT ME, DAMN IT."
00:02:16.595,00:02:17.972,THAT'S AN ORDER.
00:02:20.599,00:02:23.310,MAYBE JUST YOUR LOVE HANDLES.
00:02:23.351,00:02:25.145,I HAVE LOVE HANDLES?
00:02:25.186,00:02:26.480,YEAH.
00:02:26.521,00:02:27.481,LITTLE ONES.
00:02:27.522,00:02:28.607,Meryl: TRUMAN!
00:02:28.649,00:02:30.567,YOU'RE GOING TO BE LATE.
00:02:30.609,00:02:32.027,OK!
00:02:46.249,00:02:47.208,GOOD MORNING.
00:02:47.250,00:02:48.836,MORNING.
00:02:48.877,00:02:53.298,"OH, AND IN CASE I DON'T SEE YOU, GOOD AFTERNOON, GOOD EVENING, AND GOOD NIGHT."
00:02:54.549,00:02:55.843,"Truman: YEP, YEP."
00:02:55.884,00:02:57.427,MORNING.
00:02:57.469,00:02:58.637,"HEY, PLUTO."
00:02:58.679,00:02:59.847,"NO, NO, NO."
00:02:59.888,00:03:00.889,Spencer: HE WON'T HURT YOU.
00:03:00.931,00:03:03.600,GET DOWN.
00:03:03.642,00:03:04.685,IT'S JUST ME.
