start,end,script
00:01:32.708,00:01:37.791,"ruined, with the walls destroyed."
00:01:37.875,00:01:39.083,He stepped inside.
00:01:39.791,00:01:45.041,"A crucifix was still there, where the altar had been."
00:01:46.583,00:01:51.500,Francesco felt captivated.
00:01:52.125,00:02:02.375,"The crucifix spoke to him and said, “Francesco, repair my Church.” Francesco was a practical man."
00:02:02.458,00:02:13.333,"He went up to the quarry on Mount Subasio, cut stones, carted them down the mountain, and repaired the broken walls."
00:02:15.500,00:02:22.875,"Any journey, no matter how long, has to start somewhere."
00:02:23.958,00:02:29.416,"Any journey, no matter how glorious, can start with a mistake."
00:02:29.666,00:02:34.500,"So, when you feel lost, don’t worry."
00:02:35.416,00:02:38.125,God will not give up.
00:02:38.708,00:02:39.625,Understood?
00:02:40.875,00:02:42.291,Understood?
00:02:45.000,00:02:46.458,I’ve been thinking...
00:02:46.541,00:02:49.250,We have many troubles here.
00:02:51.083,00:02:56.375,It’s not fair to leave it all to Our Lady.
00:02:56.875,00:03:01.541,Who else could pray for us?
00:03:05.875,00:03:07.666,Let's see... Young man!
00:03:07.916,00:03:09.000,What’s your name?
00:03:10.541,00:03:13.000,"The name of my team, San Lorenzo!"
00:03:22.833,00:03:25.958,"San Lorenzo, pray for us..."
00:03:47.666,00:03:48.583,Father.
00:03:48.750,00:03:49.833,The Pope...
00:03:51.208,00:03:52.500,The Pope has died.
00:04:06.750,00:04:16.083,"Brothers and sisters, our beloved Holy Father John Paul II has returned to the Lord's house."
00:04:39.583,00:04:40.666,This?
00:04:40.958,00:04:44.000,"Archbishop of Kiev, Cardinal Husar."
00:04:44.083,00:04:44.916,Good.
00:04:45.166,00:04:46.041,This?
00:04:46.333,00:04:48.208,Cardinal Arinze of Nigeria.
00:04:48.375,00:04:50.708,Many say he will be the first African Pope.
00:04:51.083,00:04:52.500,Good. This?
00:04:54.625,00:04:56.250,"Bergoglio, Argentina."
00:04:56.750,00:05:01.291,Leading advocate for reform. Very popular in-- I know who he is.
00:05:01.375,00:05:02.208,This?
00:05:03.083,00:05:04.250,Cardinal Martini.
00:05:22.500,00:05:24.666,They will choose between tradition and reform.
00:06:07.833,00:06:09.000,Good afternoon.
00:06:18.250,00:06:21.750,The Church is too used to this glory.
00:06:22.000,00:06:23.125,This is Europe...
00:06:24.208,00:06:30.125,"Our churches are beautiful but empty, like a fire covered in ash."
00:06:30.208,00:06:33.125,We need someone to blow the ash away.
00:06:33.750,00:06:34.583,You.
00:06:34.875,00:06:37.708,Someone outside of Europe is better.
00:06:37.791,00:06:39.666,"No, Martini. Not me."
00:06:44.583,00:06:47.500,Thank you for the beautiful sermon.
00:06:47.958,00:06:49.708,You are welcome.
00:06:50.291,00:06:54.833,"Cardinal Hummes, life was easier when everybody spoke Latin."
00:06:54.916,00:06:55.916,Nice to see you.
00:07:01.833,00:07:05.833,"No nice to see you for you, Jorge."
00:07:43.625,00:07:45.958,The cardinals are about to vote.
00:08:53.375,00:08:59.166,"I call as my witness Christ the Lord, who will judge me, that I elect the one who I deem..."
00:09:00.708,00:09:04.208,should be chosen according to God.
00:10:36.000,00:10:39.625,The results of the first scrutiny...
00:10:44.500,00:10:48.166,"Joseph Ratzinger, 47 votes."
00:10:49.458,00:10:52.625,"Jorge Bergoglio, ten votes."
00:10:54.666,00:10:56.583,Carlo Maria Martini...
00:10:58.041,00:10:59.458,Nine votes.
00:11:08.125,00:11:12.416,...no cardinal obtained the 77 votes needed.
00:12:35.916,00:12:37.333,The results...
00:12:38.041,00:12:40.416,of the third scrutiny...
00:12:41.833,00:12:50.000,are the following: It's white!
00:14:23.958,00:14:26.000,"Jorge, what will you do now?"
00:14:27.541,00:14:30.750,"Return to Buenos Aires, plan my retirement."
00:14:30.833,00:14:33.208,You're too young to retire.
00:14:34.708,00:14:39.958,The Church voted to make overdue reforms remain overdue.
00:14:40.833,00:14:46.458,I can do more good as a simple parish priest.
00:14:49.541,00:14:50.916,Okay.
00:14:55.125,00:14:56.791,I'll pray for him.
00:15:08.125,00:15:10.708,This protects the Doctrine of the Faith.
00:15:24.083,00:15:26.375,He's already started with no.
00:15:26.458,00:15:28.791,"No against this, no against that..."
00:15:29.666,00:15:34.041,It's bad for the poor in Brazil and the poor in the world.
00:15:34.125,00:15:39.500,People are abandoning Catholicism because it is too conservative.
00:16:02.916,00:16:04.041,"Bye, bye."
00:16:06.458,00:16:08.708,Don't buy Tonio's stamps.
00:16:09.166,00:16:10.541,They don't work.
00:16:11.375,00:16:13.625,There’s nothing wrong with them.
00:16:13.708,00:16:17.583,"I wrote a beautiful letter, and no reply."
00:16:18.625,00:16:22.250,"Sent it again, still no reply."
00:16:22.333,00:16:24.666,Your stamps don't work.
00:16:24.750,00:16:30.041,"Doesn't matter how good your letter was, Jorge, San Lorenzo will never call you."
00:16:33.458,00:16:35.791,Maybe you used the wrong address.
00:16:36.083,00:16:37.500,Impossible.
00:16:37.791,00:16:40.333,It’s a well-known address.
00:16:40.666,00:16:41.750,To whom?
00:16:42.666,00:16:43.708,The Pope.
00:16:45.458,00:16:49.250,"So, Tonio's stamps work."
00:16:49.708,00:16:52.875,"I have your letters, and this is from the Vatican."
