start,end,script
00:03:38.551,00:03:43.848,"I can't feel my legs, Keyser."
00:03:48.478,00:03:49.437,Ready?
00:04:01.574,00:04:02.700,What time is it?
00:04:04.410,00:04:05.411,12:30.
00:05:14.230,00:05:17.483,A truck loaded with stripped gun parts got jacked outside of Queens.
00:05:17.859,00:05:19.902,"The driver didn't see anybody, but somebody fucked up."
00:05:20.194,00:05:21.237,He heard a voice.
00:05:21.612,00:05:22.864,Sometimes that's all you need.
00:05:23.948,00:05:30.913,NEW YORK CITY - 6 WEEKS AGO Christ. Don't you fuckin' guys ever sleep?
00:05:32.457,00:05:33.624,"Fuck you, pig."
00:05:43.885,00:05:44.886,Who wants to know?
00:05:45.053,00:05:46.554,New York Police Department.
00:05:59.942,00:06:01.110,Sure you brought enough guys?
00:06:38.648,00:06:43.277,A restaurant that changes with the taste without losing the overall aesthetic.
00:06:43.694,00:06:47.573,"In other words, the atmosphere will not be painted on the walls."
00:06:49.534,00:06:51.244,"Well, let me give you an example."
00:06:55.915,00:06:56.874,David.
00:06:58.417,00:07:00.169,-I'm in a meeting. -Time for another one.
00:07:01.462,00:07:03.798,"Everyone, this is David Kujan."
00:07:04.173,00:07:06.467,"Special Agent Kujan, US Customs."
00:07:07.260,00:07:09.512,These gentlemen are from the New York Police Department.
00:07:10.763,00:07:11.848,"You look good, Keaton."
00:07:12.306,00:07:13.516,Better than I would have thought.
00:07:23.609,00:07:25.153,Will you excuse us for a moment?
00:07:29.532,00:07:30.408,You're gonna be a while.
00:07:31.951,00:07:34.829,"No, no, no. Please, please, please. Sit down."
00:07:34.912,00:07:37.957,"This is, uh, this is a small problem."
00:07:39.000,00:07:41.002,Enjoy the meal. I'll talk to you later.
00:08:06.611,00:08:11.199,"I mean, these guys were hard-core hijackers, but there I was."
00:08:13.868,00:08:15.536,"At that point, I wasn't scared."
00:08:15.995,00:08:18.372,I knew I hadn't done anything they could do me for.
00:08:19.916,00:08:21.667,"Besides, it was fun."
00:08:22.210,00:08:23.961,I got to make like I was notorious.
00:08:27.173,00:08:31.469,"When your number is called, step forward and repeat the phrase you've been given. Understand?"
00:08:32.220,00:08:33.804,"Number one, step forward."
00:08:38.809,00:08:40.937,"Hand me the keys, you fucking cocksucker."
00:08:48.444,00:08:51.697,"Give me the fuckin' keys, you fuckin' cocksucker, motherfucker!"
00:08:51.948,00:08:53.616,Knock it off! Get back!
00:08:53.699,00:08:55.368,"Number three, step forward."
00:09:04.961,00:09:06.462,"Hand me the keys, you cocksucker."
00:09:08.589,00:09:09.674,Excuse me?
00:09:12.301,00:09:14.679,"Hand me the fucking keys, you cocksucker. What the fuck?"
00:09:20.518,00:09:23.145,"Hand me the keys, you fucking cocksucker."
00:09:25.439,00:09:27.233,You don't put guys like that into a room together.
00:09:30.945,00:09:34.240,"Hand me the keys, you fucking cocksucker."
00:09:36.826,00:09:38.160,"for you guys, huh?"
00:09:39.912,00:09:42.915,Somebody was pissed about that truck getting hijacked and the cops had nothing.
00:09:43.374,00:09:46.085,They were hoping somebody would slip up and give them something to go on.
00:09:46.419,00:09:49.213,They knew we wouldn't fight it because they knew how to lean on us.
00:09:49.297,00:09:50.715,They've been doing it forever.
00:09:50.840,00:09:52.466,"I mean, our rights went right out the window."
00:09:52.550,00:09:54.385,"It was a violation. I mean, disgraceful."
00:09:54.468,00:09:56.053,They went after McManus first.
00:09:56.512,00:09:57.471,Top-notch entry man.
00:09:57.555,00:09:58.723,What truck?
00:10:01.350,00:10:02.351,Fucko?
00:10:08.232,00:10:09.859,You wanna know what your buddy Fenster told us?
00:10:10.318,00:10:12.111,-Say who? -McManus.
00:10:12.320,00:10:14.113,He told us another story altogether.
00:10:14.196,00:10:17.658,"Oh, is that the one about the hooker with the, uh, dysentery?"
00:10:21.037,00:10:23.956,"but when it came to the job, he was right on. A smart man."
00:10:25.583,00:10:26.834,I said he'll flip you.
00:10:27.168,00:10:28.544,-He'll what? -Flip you.
00:10:29.003,00:10:30.755,"-Flip you for real. -Yeah, I'm shaking."
00:10:31.088,00:10:32.423,-Come on. -Okay.
00:10:32.506,00:10:34.258,-Answer my question. -Can you hear me in the back?
00:10:38.137,00:10:39.555,I want my lawyer.
00:10:46.020,00:10:49.440,"Without a doubt, the one guy who didn't give a fuck about anybody."
00:10:49.815,00:10:52.068,You guys don't have a fucking leg to stand on.
00:10:53.694,00:10:55.905,I can put you in Queens on the night of the hijacking.
00:10:56.280,00:10:57.281,Really?
00:10:57.782,00:10:58.824,I live in Queens.
00:10:59.200,00:11:01.369,"Did you put that together yourself, Einstein?"
00:11:01.827,00:11:04.413,"What, you got a team of monkeys working around the clock on this?"
00:11:06.957,00:11:07.833,Uh...
00:11:09.627,00:11:11.879,Fuck your father in the shower and then have a snack.
00:11:11.962,00:11:13.381,"Are you gonna charge me, dickhead?"
00:11:13.589,00:11:15.216,I'll charge you when I'm ready.
00:11:15.299,00:11:16.384,With what?
00:11:19.303,00:11:22.181,"Keaton was the real prize for them, for obvious reasons."
00:11:22.264,00:11:24.600,"It was your mistake, not mine."
