start,end,script
00:01:37.520,00:01:38.920,Little girl?
00:01:40.640,00:01:41.840,I'm a policeman.
00:01:42.520,00:01:43.680,Little girl.
00:01:48.120,00:01:50.120,"Don't be afraid, okay?"
00:01:53.080,00:01:54.440,Little girl.
00:02:13.080,00:02:14.600,"Oh, my God."
00:03:02.680,00:03:04.440,RICK: What's the difference between men and women?
00:03:04.720,00:03:07.120,"-SHANE: This a joke? -No, I'm serious."
00:03:08.440,00:03:11.080,Never met a woman who knew how to turn off a light.
00:03:11.200,00:03:12.880,They're born thinking the switch only goes one way...
00:03:14.480,00:03:18.200,"You know, they're struck blind the second they leave a room."
00:03:18.280,00:03:20.520,"I mean, the same chick, mind you."
00:03:21.160,00:03:23.760,She'll bitch about global warming.
00:03:27.120,00:03:39.400,"from the Guy Gospel and say, um, Darling, maybe you and every other pair of boobs on this planet just figure out that the light switch, you see, goes both ways, maybe we wouldn't have so much global warming."
00:03:39.680,00:03:41.880,"-You say that? -Mmm. In a way, yeah."
00:03:48.280,00:03:49.400,"So how's it with Lori, man?"
00:03:49.760,00:03:56.400,"Lately, whenever I try, everything I say makes her impatient, like she didn't want to hear it after all."
00:03:56.480,00:03:57.640,Mmm.
00:03:57.960,00:04:02.560,It's like she's pissed at me all the time and I don't know why.
00:04:04.080,00:04:06.160,"Look, man. That's just shit couples go through."
00:04:06.560,00:04:08.720,"Yeah, it's a, it's a phase."
00:04:12.960,00:04:15.360,-The last thing she said this morning... -Hmm.
00:04:15.520,00:04:18.960,Sometimes I wonder if you even care about us at all.
00:04:20.440,00:04:22.920,She said that in front of our kid.
00:04:24.760,00:04:27.600,Imagine going to school with that in your head.
00:04:34.160,00:04:36.160,"DISPATCHER: All available units, high-speed pursuit in progress."
00:04:36.280,00:04:38.560,Linden County units request local assistance.
00:04:38.720,00:04:40.120,"Highway 18 eastbound. GTA, ADW."
00:04:50.120,00:04:52.080,DISPATCHER: Suspects are two male Caucasians.
00:04:52.160,00:04:53.800,Be advised they have fired upon police officers.
00:05:01.680,00:05:06.320,"DISPATCHER: Unit 1, unit 3, to eastbound, Route 18, two miles west of Interstate 85."
00:05:06.400,00:05:08.280,Will patch in Linden County sheriff radio.
00:05:10.760,00:05:12.480,of the Route 18 intersection.
00:05:16.920,00:05:19.080,"Highway 18, EB of interstate, please advise."
00:05:25.560,00:05:28.840,Old French Road is closed down there so they're gonna head back onto 18.
00:05:30.920,00:05:33.880,Sounds like they chasing those idiots up and down every back road we've got.
00:06:05.360,00:06:07.200,"-Gun, gun, gun! -Put it down!"
00:06:13.600,00:06:14.600,Ah!
00:06:32.240,00:06:33.440,SHANE: Rick!
00:06:39.400,00:06:42.640,"I saw you get tagged, man. That scared the hell out of me."
00:06:42.720,00:06:43.760,"Me, too."
00:06:44.520,00:06:47.240,That son of a bitch shot me. You believe that?
00:06:47.400,00:06:48.800,He catch you in your vest?
00:06:49.600,00:06:50.680,Yeah.
00:06:52.480,00:06:55.040,"Shane, you do not tell Lori that happened. Ever."
00:06:59.400,00:07:00.480,"OFFICER: Police, move in!"
00:07:00.560,00:07:01.760,"No, no, no, no, no, no, no."
00:07:04.080,00:07:05.760,"No, no, no, no, no, no, no, no."
00:07:06.280,00:07:07.600,He's hit!
00:07:07.880,00:07:10.360,Leon! You get that ambulance down here!
00:07:10.440,00:07:12.280,You tell them there's an officer down! You do it now!
00:07:13.800,00:07:15.200,"I'm here. Hey, you look at me. You stay with me."
00:07:17.320,00:07:18.880,"I'm right here, Rick. Stay with me. You hear me?"
00:07:22.240,00:07:24.360,"I'm right here with you. Stay with me. Shh, shh."
00:07:24.440,00:07:26.440,That's it. I'm right here.
00:07:30.240,00:07:31.440,"Hey, bud."
00:07:33.120,00:07:34.720,We're still here.
00:07:35.440,00:07:37.320,We're still hanging in.
00:07:40.640,00:07:42.080,"I'm sorry, man."
00:07:42.160,00:07:45.080,I know I say the same crap every time I come in here.
00:07:48.960,00:07:50.320,Everybody pitched in on these.
00:07:50.400,00:07:52.520,"They, uh, wanted me to bring 'em down."
00:07:52.600,00:07:54.600,"They send their love, and they just..."
00:07:54.720,00:07:56.840,They hope you come back real soon.
00:08:02.080,00:08:03.840,they picked these out.
00:08:04.320,00:08:05.920,"Probably could tell, huh?"
00:08:08.080,00:08:10.960,"I'm just gonna set these on your side table, okay?"
00:08:20.000,00:08:22.800,"That vase, that's something special."
00:08:23.000,00:08:25.720,'Fess up. You steal it from your grandma Jean's house?
00:08:27.240,00:08:29.440,I hope you left her that spoon collection.
00:08:37.800,00:08:39.400,Shane?
00:08:39.880,00:08:40.880,Shane.
00:09:50.040,00:09:51.840,"Nurse, help."
00:12:32.960,00:12:33.960,Ah...
00:15:03.240,00:15:04.720,Lori.
00:15:07.440,00:15:08.640,Lori!
00:15:17.120,00:15:19.600,Lori! Carl!
00:15:36.200,00:15:37.760,Is this real?
00:15:38.440,00:15:39.800,Am I here?
00:16:51.520,00:16:52.960,-Daddy! Daddy! -RICK: Carl.
00:16:53.920,00:16:56.120,Carl. I found you.
00:17:01.680,00:17:03.760,He say something? I thought I heard him say something.
00:17:03.840,00:17:06.200,"-He called me Carl. -Son, you know they don't talk."
00:17:06.320,00:17:09.280,"Hey, Mister, what's that bandage for?"
00:17:10.640,00:17:11.800,What?
00:17:13.960,00:17:15.720,Or I will kill you.
00:17:35.960,00:17:38.000,Got that bandage changed now.
00:17:38.080,00:17:39.680,It was pretty rank.
00:17:40.440,00:17:42.400,What was the wound?
00:17:44.040,00:17:45.640,-Gunshot. -Gunshot?
00:17:47.040,00:17:48.840,What else? Anything?
00:17:49.840,00:17:51.480,Gunshot ain't enough?
00:17:53.280,00:17:55.080,"Look, I ask and you answer."
00:17:55.920,00:17:57.840,"That's common courtesy, right?"
00:18:01.200,00:18:03.480,Did you get bit?
00:18:05.960,00:18:07.480,"-Bit? -Bit, chewed."
00:18:07.720,00:18:10.280,Maybe scratched. Anything like that?
00:18:10.960,00:18:12.680,"No, I got shot."
00:18:13.560,00:18:15.800,Just shot as far as I know.
00:18:18.920,00:18:20.800,Hey. Just let me.
00:18:24.520,00:18:25.800,Feels cool enough.
00:18:26.560,00:18:28.800,Fever would've killed you by now.
00:18:29.240,00:18:30.560,I don't think I have one.
00:18:45.440,00:18:47.320,MORGAN: Come on out when you're able.
00:18:50.560,00:18:51.600,Come on.
00:19:15.240,00:19:19.120,"This place, Fred and Cindy Drake's?"
00:19:20.320,00:19:21.680,Never met 'em.
00:19:21.800,00:19:24.440,I've been here. This is their place.
00:19:24.800,00:19:26.800,It was empty when we got here.
00:19:29.760,00:19:32.520,Don't do that. They'll see the light.
00:19:33.280,00:19:35.760,There's more of them out there than usual.
00:19:35.920,00:19:39.000,I never should've fired that gun today.
00:19:39.160,00:19:41.760,Sound draws them. Now they're all over the street.
00:19:42.680,00:19:45.000,Stupid. Using a gun.
00:19:46.320,00:19:49.760,"But it all happened so fast, I didn't think."
00:19:50.040,00:19:51.720,You shot that man today.
00:19:52.600,00:19:55.680,"-Man? -You shot him in the street out front, a man."
00:19:55.800,00:19:58.560,"Friend, you need glasses. It was a walker."
00:19:59.040,00:20:03.040,Come on. Sit down before you fall down.
00:20:05.040,00:20:06.360,Here.
00:20:13.520,00:20:15.480,"Hey, mister, you even know what's going on?"
00:20:15.720,00:20:19.200,I woke up today in the hospital...
00:20:21.560,00:20:23.840,Came home and that's all I know.
00:20:26.880,00:20:28.280,"But you know about the dead people, right?"
00:20:28.360,00:20:30.320,"Yeah, I saw a lot of that."
00:20:30.760,00:20:33.240,"Out on the loading dock, piled in trucks."
00:20:33.440,00:20:35.920,"No, not the ones they put down."
00:20:36.000,00:20:38.240,"The ones they didn't, the walkers."
00:20:39.240,00:20:41.040,Like the one I shot today.
00:20:41.240,00:20:45.320,"'Cause he'd have ripped into you, tried to eat you, taken some flesh at least."
00:20:46.720,00:20:51.600,"Well, I guess if this is the first you're hearing it, I know how it must sound."
00:20:54.240,00:20:55.760,They're out there now? In the street?
00:20:55.880,00:20:57.120,Yeah.
00:20:57.440,00:20:59.760,They get more active after dark sometimes.
00:21:00.320,00:21:01.880,Maybe it's the cool air or...
00:21:01.960,00:21:04.320,"Hell, maybe it's just me firing that gun today."
00:21:04.920,00:21:07.640,But we'll be fine as long as we stay quiet.
00:21:07.720,00:21:09.880,Probably wander off by morning.
00:21:12.280,00:21:13.520,But listen.
