start,end,script
00:01:29.166,00:01:32.541,"Sugo, keep your eyes and ears open!"
00:01:33.208,00:01:34.875,It's frightening the girls.
00:01:37.875,00:01:39.875,…if you hadn't gotten lost.
00:01:39.958,00:01:42.625,"Really, Papa, you grew up in Kaedwen."
00:01:48.333,00:01:50.583,Are bandits killing innocents along these trails?
00:02:11.083,00:02:12.000,No!
00:03:03.500,00:03:05.666,You must make a killing at druid festivals.
00:03:06.208,00:03:08.541,Don't usually see your sorts around these parts.
00:03:16.458,00:03:19.416,"You're a trailblazer, flaunting the new fad."
00:03:19.500,00:03:20.708,"Trendsetter, you."
00:03:23.583,00:03:26.333,"Whoa, there. People should get acquainted more, really."
00:03:29.708,00:03:31.500,Especially when one's about to kill the other.
00:03:32.583,00:03:35.750,"Though you leshens don't speak, so there's the rub."
00:04:15.041,00:04:16.125,…and stick with it.
00:04:20.291,00:04:22.125,"Deadly, flapping swarm it is."
00:04:37.208,00:04:39.041,Away. It's not dead.
00:04:39.125,00:04:41.500,So kill it. You're a witcher.
00:04:41.583,00:04:43.750,There are several ways to kill a leshen.
00:04:43.833,00:04:48.875,"Behead it, sacrifice a few of its furry pets, even a few old dryad spells will do."
00:04:49.750,00:05:17.958,Which will you… Garean bhaedh aip me vhoelynath.
00:05:20.333,00:05:22.708,Thought you said they don't speak?
00:05:28.916,00:05:29.958,They don't.
00:05:49.166,00:05:50.000,Wait!
00:05:50.083,00:05:52.083,Wait. I'm noble blood.
00:05:52.166,00:05:53.583,You can't leave me here.
00:05:54.166,00:05:55.208,What am I to do?
00:05:59.791,00:06:05.375,"He said, Practice your sad face, and maybe a passerby will offer you a ride."
00:06:09.208,00:06:12.583,The witcher said to use my sad face on the alderman too.
00:06:13.208,00:06:16.916,So he'd spare some men to… gather the bodies.
00:06:24.375,00:06:25.541,"Dry eyes, child."
00:06:26.791,00:06:31.083,I'll see that your father and sisters are returned to you and laid to rest properly.
00:06:35.916,00:06:37.708,and a loyal subject to our king.
00:06:37.791,00:06:40.750,My students and I resubmit our petition.
00:06:41.333,00:06:47.291,Seize the witcher home of Kaer Morhen and exile its occupants for crimes against Kaedwen's people.
00:06:47.791,00:06:54.791,"From what the boy told us, Your Highness, the witcher slew the leshen that was terrorizing our forests."
00:06:54.875,00:07:00.666,"Lady Zerbst, since when have leshens prowled about Kaedwen, never mind with such hostility?"
00:07:01.333,00:07:02.458,Eh?
00:07:02.541,00:07:07.083,"Oh, you're suggesting the witchers have been staging these forest attacks."
00:07:07.166,00:07:10.458,"So scandalous, Madam Gilcrest."
00:07:10.541,00:07:13.666,Monster species have dwindled under their swords.
00:07:15.791,00:07:18.750,"Some have turned to mercenary work, others criminality."
00:07:18.833,00:07:21.916,One even took a bounty on a cheating husband's head.
00:07:22.000,00:07:24.583,And you have evidence to prove your conspiracy?
00:07:24.666,00:07:29.041,Or are we to merely bank on your magical intuition?
00:07:29.125,00:07:31.083,"It's their natures, my lady."
00:07:32.583,00:07:35.375,Witchers are the offspring of foul sorcery.
