start,end,script
00:00:11.679,00:00:20.771,"Despite his meandering maneuverability, his strategical susceptibility, his infantile indefatigability And his tendency towards tantrum capability, he still remains-- An imaginary sound of music."
00:00:28.236,00:00:30.698,A-an imaginary sound of music.
00:00:30.739,00:00:36.704,"Ever had one of those nights that starts out like any other, but ends up being the best night of your life?"
00:00:36.745,00:00:39.289,Are you sitting comfortably?
00:00:39.331,00:00:40.875,Then we'll begin.
00:00:40.916,00:00:46.338,"It was June the 22nd, 1990, our final day of school."
00:00:46.380,00:00:52.219,"There was Oliver Chamberlain, Peter Page, Steven Prince, Andy Knightley and me."
00:00:52.260,00:00:54.179,They called me the King.
00:00:54.221,00:00:57.016,Because my name's Gary King.
00:00:57.057,00:00:59.059,Ollie was funny.
00:00:59.100,00:01:01.854,"He fancied himself as a bit of a player, but really he was all mouth."
00:01:01.896,00:01:05.900,We called him O-Man because he had a birthmark on his fore- head that looked like a six.
00:01:05.941,00:01:08.360,He loved it.
00:01:08.402,00:01:10.445,Pete was the baby of the group.
00:01:10.487,00:01:14.033,"He wasn't the kind of kid we'd usually hang out with, but he was good for a laugh."
00:01:14.074,00:01:16.618,And he was absolutely minted.
00:01:18.078,00:01:20.205,Steve was a pretty cool guy.
00:01:20.247,00:01:22.708,"We jammed together, chased the girls."
00:01:22.750,00:01:24.376,I think he saw us as rivals.
00:01:24.418,00:01:25.878,"Sweet, really."
00:01:25.920,00:01:27.588,And Andy.
00:01:27.629,00:01:31.341,"Andy was my wingman, the one guy I could rely on to back me up."
00:01:31.383,00:01:35.596,"He loved me, and I'm not being funny, but I loved him too."
00:01:35.637,00:01:38.891,-There was nothing we were gonna miss about school.
00:01:38.933,00:01:41.894,maybe Mr. Shepherd.
00:01:41.936,00:01:44.563,He used to ask me what I wanted to do with my life.
00:01:44.605,00:01:48.525,I told him I just wanted to have a good time.
00:01:48.567,00:01:50.861,It wasn't meant to be.
00:01:50.903,00:01:52.905,Come on! Once more!
00:01:52.947,00:01:57.409,"Newton Haven was our hometown, our playground, our universe."
00:01:57.451,00:02:00.579,"And that night, it was the site of a heroic quest."
00:02:00.621,00:02:07.586,"The aim-- to conquer The Golden Mile, 12 pubs along a legendary path of alcoholic indulgence."
00:02:07.628,00:02:21.058,"There was the first post, the old familiar, the famous cock, the cross hands, the good companions, the trusty servant, the two headed dog, the mermaid, the beehive, the King's head, the hole in the wall, all before reaching our destiny, the world's end."
00:02:21.100,00:02:25.771,We took my car into town.
00:02:25.813,00:02:28.607,-And so our journey into manhood began.
00:02:28.649,00:02:31.735,We were off.
00:02:31.777,00:02:33.779,"We hit pub one, and we hit it hard."
00:02:33.821,00:02:42.871,"There was drinking, there was fun, there was controversy, there were ladies, there were shots, there was drama, and of course there was drinking."
00:02:45.165,00:02:52.756,"By pub five, we were feeling invincible And decided to purchase some herbal refreshment from a man we called The reverend green."
00:02:52.798,00:02:55.968,"Pint six put O-Man out of commission, so we carried on without him."
00:02:56.010,00:02:58.303,Good thing.
00:02:58.345,00:03:01.473,"We went into the disabled's, and I bumped into her again."
00:03:01.515,00:03:04.935,"Sam tagged along for a while, but then I had to let her go."
00:03:04.977,00:03:08.689,"I had another date that night, and her name was Amber."
00:03:08.730,00:03:12.693,"Nine pints in, and it was us against the world."
00:03:12.734,00:03:20.993,"Things got mental in the beehive, so we repaired to the bowls club, or as we liked to call it, the smokehouse, which is when it all went fuck-up."
00:03:21.035,00:03:24.163,"Everyone got para and Pete chucked a whitey, so we had to bench him."
00:03:24.203,00:03:27.374,"In the end, we blew off the last three pubs and headed for the hills."
00:03:30.085,00:03:41.388,"I remember sitting up there, blood on my knuckles, beer down my shirt, sick on my shoes, seeing the orange glow of a new dawn break And knowing in my heart life would never feel this good again."
00:03:42.263,00:03:43.807,And you know what?
00:03:45.350,00:03:46.935,It never did.
00:03:49.604,00:03:53.525,"Thank you, Gary."
00:03:53.567,00:03:56.028,Would anyone like to add anything?
00:03:56.070,00:03:57.696,Or maybe challenge Gary?
00:03:57.738,00:04:00.365,Are you disappointed?
00:04:00.407,00:04:03.451,That you didn't make it to the world's end.
00:04:06.955,00:04:08.749,No.
00:04:08.790,00:04:11.752,that you want to do?
00:04:11.793,00:04:13.837,"Well, we wanna be free."
00:04:13.879,00:04:16.924,We wanna be free to-- to do what we wanna do.
00:04:16.965,00:04:20.719,"And we wanna get loaded, and we wanna have a good time, and that's what we're gonna do."
00:04:20.761,00:04:23.764,We're gonna have a good time.
00:05:38.672,00:05:41.424,Just what is it that you want to do?
00:05:41.466,00:05:44.552,"We wanna get loaded, and we wanna have a good time."
00:05:48.182,00:05:50.517,She's a beauty.
00:05:50.558,00:05:52.435,But she's no beast.
00:05:52.477,00:05:54.313,"Hello, Peter."
00:05:54.353,00:05:56.355,Jesus. Gary.
00:05:56.397,00:05:58.650,The once and future King.
00:05:58.692,00:06:01.444,Were you outside my house this morning?
00:06:01.486,00:06:03.197,I could have swore I saw you on my street.
00:06:03.238,00:06:06.365,I've never been to Bishop's Gardens.
00:06:06.407,00:06:08.493,I'm well.
00:06:08.535,00:06:10.369,"How's, um-- Vanessa?"
00:06:10.411,00:06:11.663,"No, your wife."
00:06:11.705,00:06:13.623,Yeah. How's she?
00:06:13.665,00:06:16.459,Ah.
00:06:16.501,00:06:19.004,Ooh! Twice!
00:06:19.046,00:06:21.506,"-We haven't changed, have we?"
00:06:21.548,00:06:24.843,"I-It's all right, dad."
00:06:26.553,00:06:29.348,"-So, Gary, how can I help you?"
00:06:29.388,00:06:32.184,Are you looking to buy a car?
00:06:32.226,00:06:34.561,I'm afraid the end is nigh.
00:06:34.602,00:06:37.564,What?
00:06:37.605,00:06:39.649,What do you mean?
