start,end,script
00:01:59.661,00:02:02.831,It was nice yellow with many holes.
00:02:03.581,00:02:05.375,It looked so good.
00:02:06.084,00:02:08.211,I carried it around in my arms.
00:02:10.505,00:02:14.759,Then I saw a girl sitting on the street with her younger sibling on her back.
00:02:15.927,00:02:18.054,I could tell they were starved.
00:02:19.389,00:02:25.311,"Their faces were yellow, and the younger one's body was limp with no energy to cry."
00:02:27.063,00:02:31.359,So I turned away to eat it.
00:02:32.152,00:02:35.613,But I ended up giving it to them.
00:02:37.448,00:02:44.539,"Since I had it in my arms all day, it must have been warm."
00:02:47.167,00:02:48.251,That nice castella.
00:02:49.085,00:02:53.089,It'd be the last one I could ever have in my life.
00:02:57.427,00:02:59.053,They were devouring it.
00:03:00.054,00:03:02.348,She was shoving it in the younger one's mouth.
00:03:03.850,00:03:07.312,Would God remember that?
00:03:07.395,00:03:09.105,It was 30 years ago.
00:03:12.108,00:03:13.151,For sure.
00:03:14.027,00:03:15.528,That's His specialty.
00:03:16.863,00:03:17.989,Right.
00:03:18.740,00:03:22.410,Remember you played the pipe for me?
00:03:23.453,00:03:27.123,Can you play that one more time?
00:03:50.146,00:03:51.898,You know how to do cardiac massage?
00:03:55.443,00:03:56.319,Do it.
00:03:58.863,00:03:59.781,Stop.
00:04:03.326,00:04:04.160,Again.
00:04:16.422,00:04:17.382,Two hundred joules.
00:04:29.894,00:04:30.728,Charge.
00:04:34.190,00:04:40.280,The ones who want to connect with God tend to have self-hatred and unknowingly seek for misfortune.
00:04:40.363,00:04:42.615,They're quite vulnerable to demons.
00:04:42.699,00:04:45.910,"Just like Saint Bruno said, suicide is to die a martyr for Satan."
00:04:47.036,00:04:49.747,It's the worst sin among murders.
00:04:50.665,00:04:52.792,It's like a life sentence in hell.
00:04:55.670,00:04:59.716,"Say 20 Hail Marys, get plenty of sunlight, and take a cold shower."
00:04:59.799,00:05:02.385,Take God's gift of science.
00:05:03.636,00:05:06.097,Talk to a psychiatrist and take antidepressants.
00:05:08.433,00:05:10.810,Please stop thinking of suicide.
00:05:12.020,00:05:14.063,"And forget about him, he's gone. Please."
00:05:21.446,00:05:22.322,Father.
00:05:23.865,00:05:26.784,I'll take care of my relationships and other businesses.
00:05:28.369,00:05:30.330,You just sit there and pray for me.
00:05:31.581,00:05:35.335,"Could you ask the bishop to send me to Emmanuel labs, please?"
00:05:38.212,00:05:41.758,I heard it's not approved by the Vatican.
00:05:43.301,00:05:45.428,Sarah died on Monday.
00:05:45.511,00:05:47.388,She had surgery eight times.
00:05:48.056,00:05:50.266,Hyo-seong's been in a coma since yesterday.
00:05:52.018,00:05:55.229,It's painful to see people die like this.
00:05:55.897,00:06:00.777,No one knows what's going on in that laboratory.
00:06:02.820,00:06:05.114,I want to save people.
00:06:05.198,00:06:06.699,My gosh.
00:06:07.658,00:06:10.578,I told you to go to medical school since you were young.
00:06:11.120,00:06:14.332,It would've been great to check my eyes if you became an ophthalmologist.
00:06:14.415,00:06:15.500,Father.
00:06:15.583,00:06:17.835,-Can I go to Emmanuel Lab-- -Hey.
00:06:17.919,00:06:20.046,Let's stop chatting and give the formula of absolution.
00:06:23.549,00:06:26.260,I told you to do your confessions.
00:06:29.847,00:06:33.142,"Hello, I'm sorry to leave all of you without a proper goodbye."
00:06:34.560,00:06:37.105,It was such a last minute vacation.
00:06:39.107,00:06:44.070,"I packed everything I could, but everyone says I won't need a thing."
00:06:44.153,00:06:46.406,Because the hotel provided by the church is so nice.
00:06:48.074,00:06:50.618,I'm happy I became a priest in times like this.
00:09:04.001,00:09:07.755,"In your name, I pray that Jesus Christ will allow me the following."
00:09:09.131,00:09:12.385,"Like a leper rotting in the flesh, let all avoid me."
00:09:13.636,00:09:17.723,"Like a cripple with no limbs, let me not move freely."
00:09:19.976,00:09:23.312,Remove my cheeks that tears may not roll down them.
00:09:24.355,00:09:28.693,Crush my lips and tongue so that these don't commit sin.
00:09:28.776,00:09:32.321,Pull out all of my nails so that I may be unable to grab even the tinniest things.
00:09:32.405,00:09:36.033,Let my shoulders and back be crooked so that I cannot lift anything.
00:09:38.494,00:09:42.248,Do not let me think straight as if I'm a patient with brain tumor.
00:09:43.749,00:09:47.837,Put my body part that has been kept pure to shame so that it would not be proud.
00:09:47.920,00:09:49.839,Let me stay in humiliation.
00:09:51.173,00:09:53.301,Don't let anyone pray for me.
00:09:53.384,00:09:57.597,May only Jesus Christ's mercy have pity on me.
00:10:06.856,00:10:08.316,It has already been a month.
00:10:09.191,00:10:13.821,The scenary out the window is so phenominal and it let me forget about TV.
00:10:16.115,00:10:19.910,The hotel owner gave me a room with a view and told me I was handsome.
00:10:21.454,00:10:24.749,"Thanks to her, my skin got so tan and it's even peeling..."
00:11:56.215,00:11:58.801,"Time of death, 3:31 p.m."
00:12:11.564,00:12:15.484,"In your name, I pray that Jesus Christ will allow me the following."
00:12:17.027,00:12:20.281,"Like a leper rotting in the flesh, let all avoid me."
00:12:21.574,00:12:22.867,Like a cripple with no limbs...
00:12:22.950,00:12:24.910,"Look, look at his skin."
00:12:44.388,00:12:46.432,"Father, please hold my hand."
00:12:46.515,00:12:48.350,Please pray for me.
00:12:50.478,00:12:54.732,"Father, my five-year-old girl has leukemia."
00:12:54.815,00:13:20.257,PLEASE PRAY FOR US You're saying people come to us to beg for a prayer from the bandaged man.
00:13:20.925,00:13:23.093,What a rumor.
00:13:28.891,00:13:31.268,I heard there were some who got healed.
00:13:33.145,00:13:35.815,It could be psychologica.
00:13:37.107,00:13:40.736,Since you're the only one survived out of 50 applicants.
00:13:43.447,00:13:44.490,Isn't that so?
