start,end,script
00:44:03.040,00:44:05.376,I'm not saying anything.
01:00:38.301,01:00:40.937,"Where is Heinrich, brother?"
01:00:41.738,01:00:45.308,Sooner or later he'll be coming for you.
01:00:45.642,01:00:46.709,Brother.
01:01:10.867,01:01:14.137,I'm sorry about Jonas.
01:22:18.600,01:22:20.468,"Drive, you idiot!"
00:00:43.293,00:00:45.086,MAN: All eyes are up.
00:00:45.128,00:00:46.338,MAN 2: Sat cams are good.
00:00:46.380,00:00:48.465,Target is inbound.
00:00:48.507,00:00:50.300,ETA: five minutes.
00:00:50.342,00:00:51.760,Mission is a go.
00:00:51.802,00:00:53.303,Repeat-- you are green to go.
00:00:53.345,00:00:56.932,Intercept and apprehend the Heinrich brothers.
00:00:56.974,00:00:58.559,Secure the device.
00:00:58.600,00:01:02.855,"And remember, this mission is covert."
00:01:09.194,00:01:11.405,I've got some action.
00:01:11.446,00:01:13.156,WOMAN: Hi. My name is Xenia.
00:01:13.156,00:01:14.533,Pleased to meet you.
00:01:14.575,00:01:15.534,FDR.
00:01:15.576,00:01:18.037,So what brings you to Hong Kong?
00:01:18.161,00:01:18.996,Business or pleasure?
00:01:19.038,00:01:20.039,Pleasure.
00:01:20.163,00:01:21.498,A little bit of both.
00:01:21.540,00:01:22.583,What kind of business are you in?
00:01:22.624,00:01:26.169,I am a cruise ship captain of a very large vessel.
00:01:26.169,00:01:28.839,My small friend here is a kick-ass travel agent.
00:01:30.173,00:01:32.342,"Permission to come aboard, Captain?"
00:01:33.844,00:01:35.554,"And on that note, will you excuse us, please, ladies?"
00:01:35.596,00:01:37.806,Because we do actually have some work to do.
00:01:37.848,00:01:39.975,"Yes, we do."
00:01:43.353,00:01:45.022,"Yes, we do."
00:01:55.198,00:01:56.784,That's a lovely suit.
00:01:56.825,00:01:59.202,"Well, it is Savile Row's finest."
00:02:15.427,00:02:19.014,MAN: I see you brought your baby brother to protect you.
00:02:19.306,00:02:20.975,What did you say?
00:02:23.310,00:02:24.436,Let's go Jonas.
00:02:27.230,00:02:29.399,Shots fired. Men down.
00:02:34.488,00:02:35.864,All right.
00:02:35.906,00:02:37.240,Here we go.
00:02:58.345,00:02:59.513,Mag!
00:02:59.554,00:03:01.264,I need a mag!
00:03:33.505,00:03:34.381,Shoot him.
00:03:51.523,00:03:52.649,Tuck!
