start,end,script
00:01:48.525,00:01:51.486,Sorry. I have an appointment. I don't like to be late.
00:01:51.570,00:01:54.197,"Well, would you rather be late or dead?"
00:01:55.741,00:01:58.243,You don't wanna do this. Step out of the car.
00:02:06.668,00:02:08.003,Whoo!
00:02:08.087,00:02:12.382,"Let's go, fellas! Come on, baby! Yeah!"
00:02:12.466,00:02:14.969,Take it easy. The car's brand-new.
00:02:15.052,00:02:16.971,"No problem, buddy. I got this."
00:02:17.054,00:02:20.474,"-Baby, let's ride! Time to go! -Let's get to the club, baby!"
00:02:20.557,00:02:22.309,Your parents know the kind of company you're keeping?
00:02:22.392,00:02:24.979,-Shut up! -Dog!
00:02:25.062,00:02:27.314,"-This shit ain't workin', man! -It's coded."
00:02:27.397,00:02:29.524,"-What's the code, man? -I'm afraid I can't give you that."
00:02:29.608,00:02:31.944,"Well, I'm afraid we'll have to beat it out of you. Let's get out of this car!"
00:02:32.027,00:02:33.988,"Get out of the car, nigga! Come on, man."
00:02:34.071,00:02:36.865,"What you got for me, player? What you got? Kick your ass!"
00:02:36.949,00:02:39.242,"Come on, baby! Mm-hmm!"
00:02:39.326,00:02:41.120,Hold on.
00:02:41.662,00:02:43.497,Just came out of the dry cleaners.
00:03:07.021,00:03:08.730,"Stop moving, or I will shoot you!"
00:03:09.106,00:03:10.398,Don't you have homework to do?
00:03:13.861,00:03:17.072,Why don't you go and do it? Okay. I'm sorry.
00:03:21.451,00:03:23.328,Late.
00:04:32.231,00:04:39.571,"Hey, hey-- -The game! The game! The game! -What's the first rule when entering a man's car?"
00:04:40.572,00:04:42.950,"Respect a man's car, a man respects you."
00:04:43.366,00:04:45.911,-Rule number two? -Greet the man.
00:04:45.994,00:04:48.663,"Good afternoon, Frank. Good afternoon, Jack."
00:04:48.872,00:04:52.500,-Can we play the game now? -I think your brain would be tired after a day of school.
00:04:52.626,00:04:54.294,You're just afraid I'm gonna win.
00:04:54.586,00:04:56.546,I'm afraid you're gonna be too worn out to do your homework.
00:04:56.755,00:04:59.133,It's Friday. I don't have any homework.
00:04:59.424,00:05:01.342,"-In that case, the game. -Yes!"
00:05:01.760,00:05:03.929,"But first, what's the third rule of the car?"
00:05:05.639,00:05:06.932,Good.
00:05:23.240,00:05:27.202,"For five points-- I'm white, I'm round, but I'm not always around."
00:05:28.578,00:05:31.248,A tennis ball? Tennis balls are yellow.
00:05:48.389,00:05:50.433,Sometimes a slice of me is all you'll know.
00:05:50.767,00:05:52.769,A loaf of bread? No.
00:05:58.317,00:06:00.485,Three points. Sometimes I'm light.
00:06:00.568,00:06:02.321,Sometimes I'm dark. Sometimes I'm both.
00:06:02.529,00:06:04.281,-I know! A lightbulb! -No.
00:06:04.614,00:06:06.783,-A pizza! -No.
00:07:08.595,00:07:11.223,Audrey. Audrey! Stop walking away from me.
00:07:15.060,00:07:29.657,"Just wait. I've got about two and a half-- Last clue for all the points. Everyone wants to walk on me, but only a happy few ever have."
00:07:30.075,00:07:32.035,Take your time.
00:07:40.377,00:07:43.838,"Hey, bud. Shh! Mom, it's the game. I'm trying to think."
00:07:43.922,00:07:45.882,"Sorry. Hey, Frank. How are you today?"
