start,end,script
00:01:10.653,00:01:26.211,"are the fictions of empires, while everything forgotten hangs in dark dreams of the past, ever threatening to return."
00:01:55.907,00:01:57.242,Lord in heaven.
00:02:02.163,00:02:03.164,Come quickly!
00:02:25.061,00:02:26.271,I want to be a farmer.
00:02:27.647,00:02:29.232,I want to be a barrister.
00:02:29.315,00:02:30.817,I want to be a truck driver.
00:02:31.901,00:02:34.070,I want to be a pop idol.
00:03:14.027,00:03:16.654,is the happiest time in life.
00:03:18.573,00:03:22.243,"But as long as he could remember, Jack Fairy knew better."
00:03:28.207,00:03:40.470,"Until one mysterious day, when Jack would discover that somewhere there were others… quite like him, singled out for a great gift."
00:03:54.525,00:04:02.700,"And one day, the whole stinking world… would be theirs."
00:06:41.984,00:06:54.997,"in sparkle makeup and glittering frocks… as the boys and girls of the current glam-rock craze… pay tribute to their patron saint, pop star Brian Slade, and his space-age rock persona, Maxwell Demon."
00:06:59.043,00:07:02.338,"Lipstick Traces, his last album, was just something special to me."
00:07:02.421,00:07:05.883,It was an album that just appealed to so many people.
00:07:08.094,00:07:14.809,can be felt outside London's Lyceum Theatre… as fans await the final show of Slade's smash world tour.
00:07:14.892,00:07:23.151,Security around the performer has tightened… following a recent BBC interview in which he admitted… to premonitions of being assassinated on stage.
00:07:23.234,00:07:24.068,Turn it off.
00:07:28.406,00:07:32.994,"some of whom have been queuing here since-- Brian, time."
00:07:43.254,00:08:00.021,"The Lyceum Theatre, in cooperation with Bijou Music, is proud to present… straight back from their fantastically successful European tour, Maxwell Demon and the Venus in Furs!"
00:10:19.118,00:10:22.330,Hide the moon. Hide the stars.
00:10:29.545,00:10:32.548,full of strange flowers and subtle perfumes.
00:10:35.259,00:10:39.055,A land of which it is joy of all joys to dream.
00:10:41.015,00:10:45.353,A land where all things are perfect and poisonous.
00:11:11.879,00:11:16.759,have fashioned a whole new bent on the so-called sexual liberation of the flower power set.
00:11:16.842,00:11:25.059,"The long hair and love beads have given way to glitter makeup, platform shoes and a whole new taste for glamour, nostalgia and just plain outrageousness."
00:11:26.977,00:11:29.063,London is improving.
00:11:29.146,00:11:34.652,"Well, I think it's a disgrace, parading around all ponced up like a pack of bleeding woofters."
00:11:34.735,00:11:36.237,"Bloody hell, what'll they think up next?"
00:11:43.452,00:11:56.632,"is none other than pop giant Brian Slade, whose stylish escapades have paved the way for a whole new breed of performing artists, from Curt Wild and the Flaming Creatures to Jack Fairy and Pauly Small."
00:11:56.715,00:11:59.885,"Thanks to Slade, today's youngsters are singing a whole new tune."
00:12:01.929,00:12:04.598,"Yeah. I like boys, I like girls."
00:12:04.682,00:12:10.438,"They're all great. No difference, is there… Mr. BBC?"
00:12:10.521,00:12:14.900,Rock music has always been a reaction to accepted standards.
00:12:17.862,00:12:21.115,"At the moment, having a gay image is the in thing."
00:12:21.198,00:12:28.456,"You know, just like a few years ago, it was trendy to wear a long gray coat… with a Led Zeppelin record under your arm."
00:12:28.539,00:12:32.460,Everyone's into this scene because it's supposedly the thing to do right now.
00:12:32.543,00:12:35.045,"But you just can't fake being gay, you know?"
00:12:35.129,00:12:39.633,"If you’re gonna claim that you're gay, you're gonna have to make love in gay style."
00:12:40.176,00:12:42.595,Most of these kids just aren't gonna make it.
00:12:43.512,00:12:46.974,"That line, everyone's bisexual, it's a popular thing to say now."
00:12:47.057,00:12:48.934,"Personally, I think it's meaningless."
00:13:04.617,00:13:09.580,"I knew I should create a sensation, gasped the rocket, and he went out."
00:13:18.797,00:13:21.342,It was a stunt. The guy faked his own murder.
00:13:24.762,00:13:26.347,"Arthur, any recollection?"
00:13:28.641,00:13:31.810,-Of what? -With this Slade fellow?
00:13:34.772,00:13:39.610,"Well, he's a… early '70s glam-rock singer."
00:13:39.693,00:13:42.613,Told you we can count on Mr. Old Time Rock and Roll.
00:13:44.073,00:13:45.282,Count on me for what?
00:13:48.285,00:13:50.496,I thought I was on the Reynolds trip.
00:13:53.332,00:13:55.834,and I need a piece for the Weekender now.
00:13:58.170,00:13:59.004,Great.
00:14:01.632,00:14:06.220,Next week is the tenth-year anniversary of the whole shooting stunt incident.
00:14:07.096,00:14:11.016,"I'd like you to find out what happened, where he is today."
00:14:11.100,00:14:13.811,Whatever happened to Brian Slade? Okay?
