start,end,script
00:01:13.991,00:01:17.369,Happy birthday to you!
00:01:19.747,00:01:22.666,WESLEY: It's my anorexic boss' birthday.
00:01:24.459,00:01:31.759,This means there's a certain amount of inter-office pressure to stand around the conference table eating crappy food and pretending to worship her.
00:01:33.802,00:01:35.804,That's so good.
00:01:35.846,00:01:42.185,Acting for five minutes like Janice doesn't make all our lives miserable is the hardest work I'll do all day.
00:01:48.692,00:01:52.071,My job title is account manager.
00:01:52.112,00:02:00.412,"I used to be called an account service representative, but a consultant told us we needed to manage our clients and not service them."
00:02:06.627,00:02:10.047,I have a girlfriend whom I neither manage nor service.
00:02:10.089,00:02:15.761,"That's my best friend, Barry, fucking her on an IKEA kitchen table I picked up for a really good price."
00:02:18.263,00:02:22.225,I'm finding it hard to care about anything these days.
00:02:22.267,00:02:27.022,"In fact, the only thing I do care about is the fact that I can't care about anything."
00:02:27.064,00:02:28.440,Seriously. It worries me.
00:02:30.400,00:02:32.193,My name is Wesley Gibson.
00:02:37.198,00:02:40.869,My dad walked out on my mom when I was seven days old.
00:02:40.911,00:02:50.754,"Sometimes I wonder if he ever looked into my baby blues eyes and asked himself, Did I just father the most insignificant asshole of the 21st century?"
00:03:07.021,00:03:11.733,"Well, if you could get me the consignment to me by the 28th... Yeah."
00:03:11.775,00:03:14.277,Do you have the numbers in front of you?
00:03:25.288,00:03:26.915,Relax.
00:03:26.957,00:03:29.626,"If your name had come up, you'd be dead already."
00:03:32.629,00:03:35.382,We've had some unexpected losses recently.
00:03:37.134,00:03:41.805,We'd like to know where our competitor is getting his munition.
00:03:51.982,00:03:53.358,It's clean.
00:03:53.859,00:03:54.943,Meaning?
00:03:55.819,00:03:57.571,Meaning it's untraceable.
00:03:58.488,00:04:00.074,Your competitor's very smart.
00:04:00.115,00:04:01.324,Get down!
00:04:19.634,00:04:20.719,Fuck it.
00:05:47.681,00:05:50.767,"No one leaves the Fraternity, Cross."
00:05:50.809,00:05:53.520,CROSS ON PHONE: I have a new perspective on the Fraternity.
00:05:53.561,00:05:55.522,Careful.
00:05:55.563,00:05:59.400,You don't destroy something that's been around for a thousand years.
00:05:59.442,00:06:02.403,It's already destroyed.
00:06:02.445,00:06:04.447,I have to stop this.
00:06:04.489,00:06:06.407,Really?
