start,end,script
00:03:26.000,00:03:29.291,"Come on, let's go. Come on! We gotta get out of here."
00:03:31.916,00:03:32.833,Murderer!
00:03:38.958,00:03:41.125,-Come on! -Come on. Go!
00:06:16.041,00:06:19.750,"If you're gonna go to the ball, you have to know how to dance like a princess, right?"
00:06:27.000,00:06:30.916,"-One, two, three… You're gonna wear… -I'm gonna wear… -I'm gonna wear… -a bucket on your head?"
00:06:33.375,00:06:34.250,No?
00:06:34.333,00:06:37.250,-And a barrel around your body. -No!
00:06:37.333,00:06:39.916,-And scrub brushes for your shoes. -No!
00:06:40.000,00:06:57.041,"One, two, three… One, two, three… Good morning."
00:06:59.833,00:07:01.916,"Hey, how are you, buddy?"
00:07:02.583,00:07:03.750,Did you get something to eat?
00:07:04.875,00:07:06.416,"No, I'm not hungry."
00:07:37.000,00:07:38.000,Fuck!
00:09:20.708,00:09:21.708,"Yeah, that's fine."
00:09:33.833,00:09:34.750,Yeah.
00:09:45.250,00:09:46.791,Franklin?
00:09:46.875,00:09:50.291,"Hey, it's me. I just wanted to leave a message."
00:09:51.750,00:09:54.166,Do you think we could make some time to talk later?
00:09:54.250,00:09:55.875,"Just the two of us, without the kids?"
00:09:56.666,00:09:59.083,I really wanna work this thing out.
00:10:00.166,00:10:02.083,Okay? I miss you.
00:10:36.083,00:10:37.708,Eva Khatchadourian?
00:10:56.208,00:10:57.375,Done a lot.
00:11:01.208,00:11:04.958,"Look, Eva. I don't really care who you are, or what you done."
00:11:05.041,00:11:08.041,"So long as you can type and you can file, you can have this job."
00:11:09.625,00:11:12.958,Oh… that… that's wonderful. Thank you.
00:11:16.291,00:11:18.625,I won't let you down. I promise. Thank you.
00:11:19.458,00:11:21.583,-Thank you so much. -Sure.
00:11:22.875,00:11:23.875,See you Monday.
00:11:25.458,00:11:26.583,"Great, thank you."
00:11:48.833,00:11:50.708,Looks like someone's having a nice day.
00:11:51.375,00:11:52.625,Enjoying yourself?
00:11:53.333,00:11:54.291,I'm sorry?
