start,end,script
00:01:57.408,00:01:59.619,"Game, set and match. You're a champion."
00:02:00.328,00:02:01.162,You're number one.
00:02:02.914,00:02:06.501,"But for most tennis players, that's all it ever is: a dream."
00:02:07.001,00:02:08.753,The reality is another story.
00:02:09.212,00:02:10.171,My story.
00:02:11.673,00:02:13.424,"Now, you see that good-looking fella?"
00:02:13.508,00:02:16.761,"No, not the kid in white, the other tired, good-looking fella."
00:02:17.470,00:02:19.305,"Yeah, him. Well, that's me."
00:02:20.140,00:02:22.350,"British Davis Cup, long time ago."
00:02:22.433,00:02:24.477,"Two singles titles, even longer ago."
00:02:24.978,00:02:27.564,Presently ranked 119th in the world.
00:02:32.861,00:02:35.905,Four million tennis players in the world and I'm 119th.
00:02:36.447,00:02:44.789,"But what that really means is this: 118 guys out there are faster, stronger, better and younger."
00:02:45.582,00:02:46.875,And it gets you thinking.
00:03:00.889,00:03:04.183,"These young guys, where do they get the energy to focus?"
00:03:04.601,00:03:05.435,No fear.
00:03:06.185,00:03:08.062,"You see, the one thing you can't have is fear."
00:03:08.479,00:03:11.399,"And for the first time in my life, I'm afraid."
00:03:11.733,00:03:14.319,Not of losing. I'm not even afraid of the kid.
00:03:14.819,00:03:18.031,I'm afraid of what happens if that ball keeps going by me.
00:03:19.032,00:03:20.158,What happens then?
00:03:21.451,00:03:25.079,"I hope you don't mind, but I took the liberty of having it engraved."
00:03:29.459,00:03:31.628,"Frankly, my biggest problem is parking."
00:03:31.711,00:03:32.545,Right.
00:03:32.629,00:03:34.923,"Not for you, of course. No, your own space."
00:03:35.006,00:03:36.591,"-Name plate again. -Oh, good."
00:03:37.884,00:03:38.718,"Hello, Ian."
00:03:38.968,00:03:40.261,Is this the young man you were telling us about?
00:03:40.345,00:03:42.263,"Mmm-hmm. Peter Colt, one and only."
00:03:42.972,00:03:45.016,"Once ranked 15th in the world, I hear."
00:03:45.225,00:03:48.478,"Uh, 11th, actually, for the better part of '96."
00:03:49.479,00:03:52.232,"Yes, Peter's got himself a wild card at Wimbledon."
00:03:53.358,00:03:55.526,Then we're hoping he'll be hanging his racket here at the club.
00:03:55.985,00:03:56.819,"Well, we'll see."
00:03:57.195,00:04:00.657,"We shall look forward to giving you a peek at our ground strokes, won't we, ladies?"
00:04:00.949,00:04:02.242,"Oh, do shut up, Sylvia."
00:04:02.659,00:04:03.952,"Good luck at the Championships, young man."
00:04:04.035,00:04:04.953,Thank you very much.
00:04:07.330,00:04:08.748,"-Uh, Peter, Peter. -Yes?"
00:04:08.831,00:04:09.916,Watch the ladies.
00:04:09.999,00:04:11.751,-Occupational hazard. -Of course.
00:04:11.834,00:04:12.919,"Look at this, look at this."
00:04:14.170,00:04:16.172,Completely new hybrid.
00:04:16.256,00:04:18.216,"Yes, developed by the Yanks."
00:04:18.299,00:04:19.634,Firm but springy.
00:04:20.760,00:04:21.636,"Look, Peter."
00:04:23.096,00:04:24.138,I can't wait forever.
00:04:24.472,00:04:28.142,"Um, I mean, there's no one else I'd rather-- Ian, look no further."
00:04:28.643,00:04:29.769,You have your tennis director.
00:04:29.852,00:04:31.729,"Oh, that is splendid."
00:04:32.021,00:04:33.690,So splendid!
00:04:40.613,00:04:42.615,Once ranked 17th in the world.
00:04:42.782,00:04:43.700,Eleventh!
00:04:45.243,00:04:46.536,I was ranked 11th in the world.
00:04:51.249,00:04:54.419,It isn't a killer forehand or serve. Lots of people have those.
00:04:54.877,00:04:56.587,But the great ones have something else.
00:04:57.338,00:04:58.840,Some say it's a supportive family.
00:04:58.923,00:05:01.968,Others say it's being hungry. Really hungry.
00:05:02.760,00:05:05.013,"But as you can see, I've never been hungry."
00:05:06.597,00:05:07.432,Hello?
00:05:07.515,00:05:09.475,And as far as the supportive family goes...
00:05:10.393,00:05:12.061,Mum? Dad?
00:05:14.480,00:05:15.315,Anybody home?
00:05:34.459,00:05:36.127,"Life still giving you trouble, is it?"
00:05:36.419,00:05:39.464,"Deep Throat, Director's Cut. Absolute classic."
00:05:40.006,00:05:40.840,What... Hey!
00:05:48.306,00:05:49.223,"You all right, Dad?"
