start,end,script
00:00:59.601,00:01:02.020,It is a land of magic and wonder.
00:01:02.937,00:01:05.565,Worth cherishing in every way.
00:01:07.859,00:01:14.532,"But the closer you get, the more you see the great darkness simmering within."
00:01:22.540,00:01:25.168,Mankind is another story altogether.
00:01:27.504,00:01:32.425,What one does when faced with the truth is more difficult than you think.
00:01:42.685,00:01:44.437,I learned this the hard way.
00:01:45.730,00:01:47.565,"A long, long time ago."
00:01:50.443,00:01:55.949,"And now, I will never be the same."
00:02:03.623,00:02:04.624,Merci.
00:02:51.546,00:02:52.839,"Hello, Diana."
00:02:57.760,00:02:59.220,Diana!
00:03:40.553,00:03:42.055,-It looks very good. -Very good.
00:03:42.222,00:03:43.223,How is she doing?
00:03:43.389,00:03:44.390,She's good.
00:03:44.557,00:03:45.892,-Keep working with her. -I will.
00:03:47.101,00:03:48.102,Naomi.
00:04:13.044,00:04:14.587,"Diana, I see you."
00:04:20.927,00:04:22.971,Where are you going? Slow down!
00:04:35.692,00:04:37.110,How are you today?
00:04:45.451,00:04:47.287,Antiope thinks I'm ready.
00:04:50.206,00:04:52.625,I could begin showing her some things.
00:04:54.460,00:04:56.462,She should at least be able to defend herself.
00:04:56.796,00:04:57.839,From whom?
00:04:58.006,00:04:59.966,In the event of an invasion.
00:05:03.636,00:05:05.972,"leading an entire army, General?"
00:05:07.140,00:05:09.934,I pray a day will never come where she has to fight.
00:05:10.226,00:05:15.898,"But you know, a scorpion must sting, -a wolf must hunt-- -She is a child."
00:05:16.232,00:05:18.192,The only child on the island. Please let her be so.
00:05:19.527,00:05:21.070,There will be no training.
00:05:31.581,00:05:33.166,It's time to sleep.
00:05:34.959,00:05:37.253,What if I didn't use a sword?
00:05:37.837,00:05:40.089,Fighting does not make you a hero.
00:05:40.673,00:05:43.009,Just a shield then. No sharp edges.
00:05:48.431,00:05:54.937,"I wished for you so much so, I sculpted you from clay myself and begged Zeus to give you life."
00:05:55.104,00:05:56.898,You've told me this story.
00:05:57.482,00:06:00.902,Which is why tonight I will tell you a new one.
00:06:01.527,00:06:04.697,"A story of our people, and my days of battle."
00:06:04.864,00:06:05.865,Yes!
00:06:06.032,00:06:09.535,So you will finally understand why war is nothing to hope for.
00:06:15.875,00:06:27.345,"Long ago, when time was new and all of history was still a dream, the Gods ruled the Earth, Zeus king among them."
00:06:30.098,00:06:33.267,Zeus created beings over which the Gods would rule.
00:06:33.810,00:06:40.149,"Beings born in his image, fair and good, strong and passionate."
00:06:41.067,00:06:44.987,He called his creation man. And mankind was good.
00:06:45.988,00:06:52.578,But Zeus's son grew envious of mankind and sought to corrupt his father's creation.
00:06:53.579,00:06:57.083,"This was Ares, the God of War."
00:06:59.252,00:07:03.464,Ares poisoned men's hearts with jealousy and suspicion.
00:07:03.631,00:07:08.928,He turned them against one another and war ravaged the Earth.
00:07:09.679,00:07:19.439,"So, the Gods created us, the Amazons, to influence men's hearts with love and restore peace to the Earth."
00:07:22.316,00:07:25.445,"And for a brief time, there was peace."
00:07:39.667,00:07:46.466,"Your mother, the Amazon Queen, led a revolt that freed us all from enslavement."
00:07:53.556,00:08:03.483,"When Zeus led the Gods to our defense, Ares killed them one by one, until only Zeus himself remained."
00:08:10.031,00:08:14.827,"striking such a blow, the God of War was forced to retreat."
00:08:16.037,00:08:21.501,"But Zeus knew that one day, Ares might return to finish his mission."
00:08:22.084,00:08:30.510,"An endless war, where mankind would finally destroy themselves, and us with them."
00:08:33.429,00:08:36.516,one powerful enough to kill a God.
00:08:41.854,00:08:46.609,"to hide us from the outside world, somewhere Ares could not find us."
00:08:51.072,00:08:53.366,And all has been quiet ever since.
00:09:01.082,00:09:05.253,We give thanks to the Gods for giving us this paradise.
00:09:07.213,00:09:08.548,And the Godkiller?
00:09:13.302,00:09:14.303,The Godkiller?
00:09:14.595,00:09:17.223,The weapon that's strong enough to kill a god.
00:09:18.224,00:09:19.559,Can I see it?
00:09:29.610,00:09:31.445,The Gods gave us many gifts.
00:09:32.113,00:09:33.864,"One day, you'll know them all."
00:09:34.407,00:09:37.118,This great tower is where we keep them.
00:09:49.714,00:09:50.923,The Godkiller.
00:09:54.719,00:09:56.220,It's beautiful.
00:09:57.805,00:09:58.973,Who would wield it?
00:10:01.684,00:10:04.228,I pray it will never be called to arms.
00:10:04.979,00:10:07.940,But only the fiercest among us even could.
00:10:08.357,00:10:10.318,"And that is not you, Diana."
00:10:11.110,00:10:16.824,"You see, you're safe, and there is nothing you should concern yourself with."
00:10:30.588,00:10:32.214,"You keep doubting yourself, Diana."
00:10:32.381,00:10:34.383,"-No, I don't. -Yes, you do."
00:10:35.259,00:10:36.427,"No, I don't."
00:10:41.015,00:10:42.391,You are stronger than you believe.
00:10:42.725,00:10:44.810,You have greater powers than you know.
00:10:58.491,00:10:59.492,Are you hurt?
00:11:00.242,00:11:03.079,"No, Mother, I'm fine, -I was just-- -Training."
00:11:04.246,00:11:07.124,It seems I'm not the revered queen I should be.
00:11:07.249,00:11:09.543,"Disobeyed, betrayed by my own sister..."
00:11:09.835,00:11:13.422,"No, Mother. It was me, I asked her to-- Take her to the palace."
00:11:15.257,00:11:16.258,Off you go.
00:11:24.809,00:11:26.977,"You left me no choice, Hippolyta."
00:11:28.646,00:11:31.399,You neglect your duty if she cannot fight.
00:11:31.565,00:11:33.651,You speak of a time that may never come.
00:11:35.236,00:11:36.737,He might never return.
00:11:37.822,00:11:39.448,He could have died from his wounds.
00:11:39.782,00:11:42.576,Ares is alive.
00:11:42.868,00:11:45.996,"You feel it, as I do, in your bones."
00:11:46.705,00:11:49.291,It is only a matter of time before he returns.
00:11:53.337,00:11:57.174,"The stronger she gets, the sooner he'll find her."
00:11:57.341,00:12:00.094,"Hippolyta, I love her as you do."
00:12:01.637,00:12:04.557,But this is the only way to truly protect her.
00:12:15.609,00:12:19.029,You will train her harder than any Amazon before her.
00:12:19.738,00:12:23.784,"Five times harder, ten times harder."
00:12:23.951,00:12:26.871,Until she is better than even you.
00:12:27.413,00:12:33.335,But she must never know the truth about what she is or how she came to be.
00:13:27.973,00:13:29.225,Harder.
00:13:32.394,00:13:33.521,Again.
00:13:50.663,00:13:52.122,Never let your guard down.
00:13:53.332,00:13:55.084,You expect the battle to be fair.
00:13:55.251,00:13:56.669,A battle will never be fair.
00:14:10.599,00:14:11.600,Antiope!
00:14:13.519,00:14:14.520,Lay still.
00:14:14.895,00:14:15.896,You are bleeding.
00:14:26.198,00:14:27.366,What have I done?
00:14:29.201,00:14:30.286,I'm sorry.
00:17:07.776,00:17:10.320,There. Go forward!
00:18:01.789,00:18:02.790,Wow.
