start,end,script
00:00:53.250,00:00:54.583,having quiet time.
00:01:00.333,00:01:01.958,Shh!
00:01:02.041,00:01:06.125,"Raffe, no slurping!"
00:01:09.125,00:01:12.708,"And the momma cow went, moo!"
00:01:21.000,00:01:21.833,Huh?
00:01:21.916,00:01:24.916,Little cookies are so...
00:01:26.333,00:01:27.583,Really!
00:01:30.916,00:01:32.125,That's not right.
00:01:36.125,00:01:43.625,"I'm trying to paint a perfect rainbow with the right colors, but I keep making mistakes."
00:01:44.500,00:01:46.458,The colors are all wrong!
00:01:46.750,00:01:47.583,Um...
00:01:48.416,00:01:51.375,"Franny, you're not being quiet."
00:02:00.416,00:02:02.750,But please ask nicely next time.
00:02:02.833,00:02:04.416,I'm sorry.
00:02:04.500,00:02:07.166,I'm just frustrated.
00:02:07.666,00:02:09.666,"It's okay, Franny."
00:02:10.125,00:02:11.666,"Maybe, um..."
00:02:12.333,00:02:14.625,Want to dance to a happy place?
00:02:16.750,00:02:17.791,"Yes, please."
00:02:51.291,00:02:54.208,-Get snappy. -And get clappy.
00:03:12.541,00:03:15.250,"-Feel better, Franny? -Much better, thanks."
00:03:15.333,00:03:16.833,Now you can keep painting.
00:03:16.916,00:03:19.125,"Uh... Oh, right."
00:03:20.458,00:03:22.750,It's a pretty rainbow.
00:03:23.250,00:03:25.166,But it's not perfect.
00:03:25.916,00:03:31.291,"That should be orange, that's supposed to be purple, or maybe yellow..."
00:03:33.250,00:03:35.500,I don't want to paint anymore.
00:03:35.583,00:03:37.708,I'm mad at colors.
00:03:41.541,00:03:44.166,I know a game we can play!
00:03:44.250,00:03:45.708,"What, what?"
00:03:46.125,00:03:49.000,Color monsters!
00:03:50.791,00:03:52.250,Uh...
00:03:52.333,00:03:54.208,But you're mad at colors.
00:03:54.791,00:03:59.583,"Yes, but what if the color monster has eaten all the colors?"
00:04:00.000,00:04:01.500,"Cool, right?"
00:04:01.958,00:04:05.250,But there's so many colors in the playroom.
00:04:05.333,00:04:07.250,How would we play that?
00:04:09.333,00:04:12.708,By using our imaginations.
00:04:30.541,00:04:31.666,Where's Franny?
00:04:46.000,00:04:47.083,N Ho.
00:04:47.791,00:04:50.291,"Um, Tilly, we're supposed to run."
00:04:50.375,00:04:54.083,And then Franny chases us until we find the color that stops her.
00:04:54.166,00:04:55.000,Okay?
00:05:37.750,00:05:40.166,"We have to, we have to..."
00:05:40.250,00:05:41.833,Stop that color monster.
00:05:42.500,00:05:44.125,But how?
00:05:44.208,00:05:47.250,"Well, one color always stops the color monster."
00:05:47.583,00:05:49.375,We just need to figure out which one.
00:05:49.791,00:05:52.916,But she took away all the colors.
00:05:54.000,00:05:56.333,This ball is black.
00:05:56.416,00:05:58.250,Black is a color.
00:05:59.250,00:06:02.250,"Oh, yeah! And Tilly's shovel is white."
00:06:02.333,00:06:03.958,"White is a color, too."
00:06:06.000,00:06:08.916,Nothing can stop me.
00:06:09.000,00:06:13.083,All the colors are gone!
00:06:13.166,00:06:16.833,Ha-ha! Not all the colors!
00:06:17.166,00:06:19.375,We have black.
00:06:19.458,00:06:21.166,And white.
00:06:24.291,00:06:28.250,Those colors do not stop the color monster!
00:06:28.583,00:06:30.833,But they're the only colors here.
00:06:31.208,00:06:32.583,That means...
00:06:32.958,00:06:33.958,I...
00:06:34.041,00:06:34.875,am...
00:06:35.125,00:06:37.958,unstoppable!
00:06:39.500,00:06:40.375,I see.
00:06:53.500,00:06:55.250,"Oh, look!"
00:06:55.333,00:06:56.875,-Bibibear! -Yeah!
00:06:57.250,00:06:59.000,Bibi's not black or white.
00:06:59.416,00:07:02.000,Bibi is... Bibi is...
00:07:02.083,00:07:03.833,What's the word for this color?
00:07:04.500,00:07:06.958,-I don't know. -I don't know either.
00:07:09.000,00:07:10.750,"Oh, uh... Time out!"
00:07:12.125,00:07:13.708,You can't call time out!
00:07:14.541,00:07:16.083,But we need Word Wally.
00:07:16.166,00:07:18.250,Oh. Okay.
00:07:32.875,00:07:35.250,in two languages: English and Mandarin.
00:07:35.333,00:07:37.166,And we need your help.
00:07:40.833,00:07:43.083,That's a dark color.
00:07:43.166,00:07:45.750,"What's the word for that, big kids?"
00:07:53.958,00:07:55.208,Hēisè.
00:07:59.458,00:08:02.375,"Oh, what's this color called, big kids?"
00:08:10.375,00:08:11.791,Báisè.
00:08:19.541,00:08:22.500,"-Huh? -Uh, I mean..."
00:08:22.583,00:08:25.708,"What's the word for this color, big kids?"
00:08:31.833,00:08:35.250,Gray! Good to know.
00:08:36.291,00:08:38.166,And what's it in Mandarin?
00:08:39.458,00:08:40.958,Huīsè.
00:08:42.541,00:08:45.458,"We learned the words, now let's have a..."
00:09:04.041,00:09:05.708,-Black! -Hēisè!
00:09:06.791,00:09:08.625,-White! -Báisè!
00:09:09.416,00:09:11.291,-Gray! -Huīsè!
00:09:31.333,00:09:36.958,"So, our word party's over, and you know what else is over?"
00:09:38.041,00:09:39.208,Time out!
00:09:41.291,00:09:42.958,Roar!
00:09:52.791,00:09:54.875,-Oh! Over there. -Huh? Oh!
00:09:55.416,00:09:59.333,A-ha! Nothing can stop me now.
00:09:59.791,00:10:02.083,"Oh, yes, something can!"
00:10:02.166,00:10:06.541,We have the color gray!
00:10:08.333,00:10:09.333,"Oh, no!"
00:10:09.583,00:10:15.458,Gray is the color that stops the color monster.
00:10:21.416,00:10:22.416,You win.
00:10:24.250,00:10:27.125,Yay! Franny's back!
00:10:28.791,00:10:30.416,"You are Franny, right?"
00:10:30.875,00:10:32.416,"Of course, silly."
00:10:35.083,00:10:37.791,"The colors are back, too."
00:10:40.041,00:10:42.750,I think I like it better with all the colors.
00:10:43.458,00:10:46.833,I'm ready to try painting again.
00:10:47.333,00:10:48.166,Let's go.
00:10:55.125,00:10:56.750,Okay...
00:10:57.375,00:10:58.875,A little more...
00:11:07.416,00:11:09.875,"Well, it's not perfect."
00:11:11.083,00:11:13.083,But I like it.
00:11:21.916,00:11:23.791,but Franny kept trying.
00:11:23.875,00:11:26.625,She's getting a sticker for sticking with it.
00:11:28.125,00:11:30.083,"-Thanks, Stickety Bot! -Bye bye!"
00:11:32.041,00:11:34.416,A rainbow sticker.
00:11:35.166,00:11:37.500,"Hey, big kids! Want to see my sticker?"
00:11:41.541,00:11:42.750,"Thank you, big kids."
00:00:14.666,00:00:15.708,Come on!
00:01:48.166,00:01:49.458,Beep-beep!
00:01:49.750,00:01:56.708,"Welcome to Bailey's Restaurant, home of the elephan-tastic shake!"
00:01:57.125,00:01:58.458,What can I get for you?
