start,end,script
00:00:33.742,00:00:37.162,But I've come to realize that you can't have a country without people.
00:00:38.580,00:00:40.666,And there are no people here.
00:00:51.050,00:00:51.886,Stop!
00:00:59.727,00:01:02.855,This is now the United States of Zombieland.
00:01:06.984,00:01:12.322,It's amazing how quickly things can go from bad to total shit storm.
00:01:12.364,00:01:15.951,And why am I alive when everyone around me has turned to meat?
00:01:15.993,00:01:18.746,It's because of my list of rules.
00:01:18.787,00:01:22.249,Rule number one for surviving Zombieland: Cardio.
00:01:24.501,00:01:30.131,"When the virus struck, for obvious reasons, the first ones to go were the fatties."
00:01:34.469,00:01:36.055,Poor fat bastard.
00:01:38.139,00:01:43.311,"But as the infection spread and the chaos grew, it wasn't enough to just be fast on your feet."
00:01:44.897,00:01:47.691,"You had to get a gun, and learn how to use it."
00:01:47.733,00:01:50.778,Which leads me to my second rule: The Double Tap.
00:01:52.863,00:01:58.577,"In those moments when you're not sure the undead are really dead dead, don't get all stingy with your bullets."
00:01:58.619,00:02:00.746,"I mean, one more clean shot to the head..."
00:02:03.457,00:02:06.085,...and this lady could have avoided becoming a human Happy Meal.
00:02:07.586,00:02:10.547,"Woulda, coulda, shoulda."
00:02:10.589,00:02:13.300,Wasn't long before the zombies began to get clever.
00:02:13.341,00:02:16.929,"When you're at your most vulnerable, somehow they could just smell it."
00:02:16.971,00:02:19.723,Can't a guy take a dumper in peace?
00:02:26.396,00:02:27.982,Don't let them catch you with your pants down.
00:02:28.023,00:02:30.567,Rule number three: Beware of bathrooms.
00:02:32.778,00:02:38.450,"As zombies began to outnumber humans, well, that's when you had to cut all emotional ties."
00:02:38.492,00:02:41.787,If the girls in your neighborhood are now fucked up little monsters...
00:02:43.371,00:02:45.457,"Well, maybe it's time to stop driving carpool."
00:02:51.713,00:02:57.011,"You had to focus on your own survival, which leads to rule number four. Pretty basic."
00:03:05.184,00:03:08.856,Fasten your seat belts.
00:04:55.462,00:04:59.591,That guy down there is me.
00:04:59.633,00:05:03.011,"And it may look like zombies destroyed it, but that's actually just Garland."
00:05:03.053,00:05:08.349,It's been two months since patient zero took a bite of a contaminated burger at a Gas N' Gulp.
00:05:08.391,00:05:12.896,"Just two months, and I might be the last non-cannibal freak in the country."
00:05:12.938,00:05:22.990,"I may seem like an unlikely survivor, with all my phobias and irritable-bowel syndrome, but I had the advantage of never having any friends or any close family."
00:05:23.031,00:05:26.243,I survive because I play it safe and follow the rules.
00:05:26.952,00:05:27.953,My rules.
00:06:12.164,00:06:13.372,Of course.
00:06:41.568,00:06:42.903,Motherfucker.
00:07:06.927,00:07:08.636,Oh.
00:07:08.678,00:07:11.014,"On the bright side, I had found a place to go number two."
00:07:16.395,00:07:19.981,Another rule to surviving Zombieland: Travel light.
00:07:20.023,00:07:22.442,And I don't mean just luggage.
00:07:22.483,00:07:24.485,I've always been kind of a loner.
00:07:24.527,00:07:28.573,I avoided other people like they were zombies even before they were zombies.
00:07:28.615,00:07:32.827,"Now that they are all zombies, I kind of miss people."
00:07:32.869,00:07:40.001,"So I'm on my way from my college dorm in Austin, Texas, to Columbus, Ohio, where I'm hoping my parents are still alive."
00:07:40.043,00:07:47.884,"Even though we were never really close, it would just be nice to see a familiar face, or any face, that doesn't have blood dripping from its lips and flesh between its teeth."
00:09:17.724,00:09:18.558,Thank you.
00:09:21.478,00:09:22.770,Ah.
00:09:25.940,00:09:27.025,What are you looking for?
00:09:27.067,00:09:29.277,"Nothing. I just, uh..."
00:09:29.319,00:09:31.654,"No one back there, but my duffel bag."
00:09:34.408,00:09:35.450,Uh...
00:09:35.492,00:09:36.535,What's your name?
00:09:36.993,00:09:37.994,Stop.
00:09:38.036,00:09:39.079,No names.
00:09:39.120,00:09:40.747,Keeps us from getting too familiar.
00:09:42.999,00:09:45.544,"You almost knocked over your alcohol with your knife, um..."
00:09:45.585,00:09:49.672,"Oh, that's okay, you don't have to-- So, where you headed?"
00:09:50.257,00:09:52.926,"Uh, Columbus. You?"
00:09:53.927,00:09:55.512,-Oh.
00:09:58.390,00:09:59.433,Mmm. Mmm.
00:09:59.474,00:10:01.601,-More?
00:10:01.642,00:10:03.978,"One and done, I always say."
00:10:05.230,00:10:10.610,"You know, um, Tallahassee and Columbus are both, uh... east."
00:10:10.651,00:10:15.031,-So?
00:10:15.073,00:10:16.450,Least... Least for a while?
00:10:16.491,00:10:18.285,"Here's the deal, Columbus."
00:10:18.326,00:10:28.878,"Uh, I'm not easy to get along with, and I'm sensing you're a bit of a bitch, so, uh, I give this relationship to about Texarkana."
00:10:28.920,00:10:31.089,Really? Yeah. You'll take me as far as Texarkana?
00:10:31.465,00:10:32.673,You...
00:10:32.715,00:10:34.342,"You're a peppy little spit-fuck, aren't you?"
00:10:36.052,00:10:38.221,"You might wanna buckle up, you know, for safety."
00:10:38.263,00:10:41.724,I can tell already you are gonna get on my nerves.
00:10:43.726,00:10:48.356,"teaming up wasn't my style, I figured I'd be safer with Tallahassee."
00:10:48.398,00:10:50.691,"You see, he was in the ass-kicking business, and..."
00:10:50.733,00:10:52.360,Business is good.
00:10:53.861,00:10:58.617,"quickly apparent, however, that he did have one weakness."
00:10:58.658,00:11:00.285,What are we doing here?
00:11:00.327,00:11:02.287,"Well, take a look."
00:11:02.329,00:11:05.790,"Yeah, I see that, a Hostess truck. So what?"
00:11:05.832,00:11:07.083,I could use a Twinkie.
00:11:13.923,00:11:14.799,You coming?
00:11:14.841,00:11:17.552,Uh... Yes. Yeah.
00:11:22.182,00:11:23.766,Are you fucking with me?
00:11:23.808,00:11:25.059,"Uh, no."
00:11:25.101,00:11:27.521,You should actually limber up as well.
00:11:27.562,00:11:29.897,Especially if we are going down that hill.
00:11:29.939,00:11:31.732,It is very important.
00:11:31.774,00:11:33.276,I don't believe in it.
00:11:33.318,00:11:36.695,You ever see a lion limber up before it takes down a gazelle?
00:11:38.072,00:11:38.906,Hmm.
00:12:01.888,00:12:03.223,-Sno Balls?
00:12:04.182,00:12:06.434,Sno Balls?
00:12:06.476,00:12:09.396,Where's the fucking Twinkies?
00:12:10.021,00:12:11.898,I like Sno Balls.
00:12:11.939,00:12:14.651,I hate coconut.
00:12:15.402,00:12:16.236,Fresh.
00:12:19.364,00:12:21.949,"Oh, this Twinkie thing, it ain't over yet."
00:12:24.952,00:12:27.372,"Hey, this may be a bad time..."
00:12:28.747,00:12:30.917,but I gotta take the Browns to the Super Bowl.
00:12:30.958,00:12:32.502,-Really?
00:12:39.384,00:12:42.554,so soon? What can I say?
00:12:42.596,00:12:44.723,"I have a case of, uh, chronic anxiety."
00:12:48.767,00:12:51.688,"Truth is, I was always kind of phobic."
00:12:51.730,00:12:53.981,I found lots of things disturbing.
00:12:54.023,00:12:57.694,Like undertow or department-store Santas.
00:12:57.736,00:12:59.028,Being alone with a baby.
00:13:01.364,00:13:04.701,"But the thing I fear more than anything, yes, even more than zombies..."
00:13:06.703,00:13:07.870,fucking clowns.
00:13:11.999,00:13:16.379,"When you're afraid of everything that's out there, you quit going out there."
00:13:16.421,00:13:19.466,Which is what happened to me before Zombieland.
00:13:19.507,00:13:23.094,"Friday night, third straight week indoors."
00:13:23.136,00:13:24.220,World of Warcraft...
00:13:25.138,00:13:29.183,"leaning tower of pizza boxes, Code Red Mountain Dew."
00:13:29.850,00:13:32.019,"Pride, nowhere."
00:13:32.061,00:13:33.896,"Dignity, long gone."
00:13:33.938,00:13:36.566,"Virginity, totally justifiable to speculate on."
00:13:38.151,00:13:44.991,"My whole life, all I'd ever wanted was to find a girl, and fall in love, bring her home to meet the folks."
00:13:45.032,00:13:50.913,"Then again, since my folks are a couple of paranoid shut-ins like me, maybe this girl could bring me home to her folks."
00:13:50.955,00:13:53.916,"And then I'd finally be a member of a cool, functional family."
00:13:57.504,00:14:01.048,"Please, is anyone home?"
00:14:01.090,00:14:06.012,"I don't usually unlock my door to the sounds of panic, but my neighbor 406 is insanely hot."
00:14:06.053,00:14:07.347,"Okay, okay."
00:14:11.476,00:14:15.396,"Thank you, thank you, thank you, thank you."
00:14:15.438,00:14:16.939,-Nice to meet you.
00:14:21.820,00:14:22.654,Here.
00:14:24.155,00:14:25.156,There you go.
00:14:30.620,00:14:33.122,-Mountain Dew?
