start,end,script
01:02:24.031,01:02:25.950,"-Trump was impeached! -Oh, yeah. I heard."
01:02:26.033,01:02:27.201,-Are you serious? -Yes!
01:02:27.285,01:02:28.619,In the House.
01:02:28.703,01:02:31.497,"Now it's gotta go to the Senate, which is Republican-run."
01:02:31.581,01:02:33.332,-But it's still a great thing. -One step's better than none...
01:04:13.766,01:04:14.642,It's pretty cool.
01:12:27.509,01:12:30.179,It's fucked up.
00:04:45.410,00:04:49.539,That's what they use to do the keylighting so we don't look ugly when we get on stage.
00:05:04.304,00:05:05.596,"Yo, catch."
00:05:33.875,00:05:35.501,-Creative Director. Choreographer. -You're taping?
00:05:35.585,00:05:36.919,-Yeah. -You're lying.
00:05:37.003,00:05:38.629,"-No, I am. -If not, I'll be so embarrassed."
00:05:40.757,00:05:45.053,"…and we're about to open the Sweetener tour, and the crowd's crazy."
00:05:45.136,00:05:46.846,It's sold-out here. I think. I think it is.
00:05:48.765,00:05:52.018,"-Yes. -I'm proud of Ariana, the dancers, I'm proud of myself, and my brother."
00:05:52.101,00:05:54.062,"The kids are gonna love the whole, entire show."
00:05:54.145,00:05:57.357,"Especially the way Ariana's dancing, singing, the visuals, everything."
00:05:57.440,00:05:58.441,It's gonna be sick.
00:05:59.359,00:06:00.985,"I'm really-- I'm gonna cry, so stop."
00:06:01.486,00:06:02.695,"Um, I'm excited."
00:06:02.779,00:06:12.497,"It's fuckin' crazy. Brian and I are gonna add each other in to the numbers in a couple cities before Cleveland and I'm just so excited to watch everybody do their thing, do our thing, her thing, everybody."
00:06:15.333,00:06:17.627,-Yes. -I was just itching my neck beard.
00:06:17.710,00:06:20.338,"Um, thoughts? I can't be more proud."
00:06:20.421,00:06:23.299,"I mean, literally, I told her, There's no words that describe it."
00:06:23.383,00:06:29.305,To think where she was six to eight months ago and think she's going to be on that stage tonight doing what she does best.
00:06:29.389,00:06:32.475,"First show. Albany, New York. Let's get it."
00:06:33.059,00:06:35.686,"Nervous, excited, so happy to be here."
00:06:35.770,00:06:38.648,"Feeling ready, feelin' fresh, ready to go. You know what I'm saying?"
00:06:38.731,00:06:39.941,Ready to get it or whatever.
00:06:40.024,00:06:43.444,"-Hey, hey, hey. That's my song. -Yeah, ready as shit."
00:06:43.528,00:06:45.655,-We about to get crazy. -Crazy.
00:06:45.738,00:06:48.282,"-Crazy, crazy. -Oh, loco!"
00:06:50.243,00:06:52.245,I feel amazing!
00:06:52.328,00:06:54.831,First show. Where are we? Albany.
00:06:57.250,00:06:59.377,I'm gonna pass out right here.
00:06:59.877,00:07:01.087,"Luz, catch me."
00:07:05.258,00:07:07.218,"Opening night. How you feeling, man?"
00:07:07.301,00:07:10.805,"Feeling good, but I thought this was a photo, so this is awkward."
00:07:10.888,00:07:11.722,You know.
00:07:18.104,00:07:21.315,"Today, I am grateful for love and friendship."
00:07:21.399,00:07:22.942,Family that has just been created.
00:07:23.025,00:07:24.318,And the memories that we shared.
00:07:24.402,00:07:25.736,"New family, new friends."
00:07:25.820,00:07:28.573,"That appreciates each other, that loves each other, pushes each other."
00:07:28.656,00:07:30.658,"We had the courage to, kind of, follow our dreams."
00:07:30.741,00:07:31.659,Thank God every day.
00:07:31.742,00:07:34.078,To be a part of something bigger than me.
00:07:34.162,00:07:36.164,All the good energy that you guys bring.
00:07:36.247,00:07:39.750,Never settling and to be inspired by each and every one of y'all. For real.
00:07:42.253,00:07:44.213,Welcome to the Sweetener World Tour.
00:12:30.374,00:12:32.001,"Come on, London. Let me hear ya."
00:13:45.866,00:13:48.035,Let's go. Sing.
00:13:58.337,00:13:59.296,"London, let's go."
00:14:09.557,00:14:11.392,"London, let's go. Sing."
00:14:27.783,00:14:28.617,Let's go.
00:15:03.736,00:15:05.738,"He's like, everyone's running around screaming."
00:15:05.821,00:15:07.781,It smells like fucking poison.
00:15:07.865,00:15:17.708,"It's horrible. The whole room is smelly, and Diane walks in, and she steps on the shit and tracks it everywhere. So now there's shit everywhere, and Fredo's like, Oh my God, it smells so bad."
00:15:17.791,00:15:19.668,He goes over to open the window.
00:15:19.752,00:15:21.003,Piggy shits on the bed.
00:15:22.796,00:15:27.134,Myron jumps up on the bed and eats Piggy's shit.
00:15:27.217,00:15:31.055,"I'm, like, picking up Piggy's shit as Myron's trying to eat it, and throw it in the toilet."
00:15:31.138,00:15:36.435,"I see Fredo running towards me in the bathroom and-- He's very sensitive in that department, so I already know what's coming."
00:15:36.518,00:15:38.062,He runs in and starts throwing up.
00:15:38.145,00:15:40.856,"I start crying my eyes out, running, screaming out of the room."
00:15:40.940,00:15:43.150,"Kristin Chenoweth's still on FaceTime, might I add."
00:15:43.233,00:15:45.569,"Josh is on the ground, crying his eyes out laughing."
00:15:45.653,00:15:47.321,This lasted 15 minutes.
00:16:01.085,00:16:02.169,I'd love a spoon.
00:16:02.252,00:16:04.338,It's by the soup. It's by the soup. Sitting there.
