title, release_year
Red-Eye,2005
Girl With A Pearl Earring,2003
Beethoven,1992
Madagascar3 : Europe’s Most Wanted,2012
The Secret Life of Pets,2016
Thoroughbreds,2017
The Duff,2015
Knight & Day,2010
The Devil All the Time,2020
Cloudy With A Chance Of Meatballs,2009
Mother!,2017
Black Mirror: Bandersnatch,2018
Velvet Goldmine,1998
Sherlock Holmes: A Game of Shadows,2011
Pacific Rim,2013
Happy Death Day,2017
ANIMA,2019
How to Lose a Guy in 10 Days,2003
Man of Steel,2013
Finding Neverland,2004
Da 5 Bloods,2020
Despite the Falling Snow,2016
The Highwaymen,2019
Fear Street Part Two: 1978,2021
First Knight,1995
Assassins,1995
Dumplin',2018
Step Brothers,2008
The Witcher: Nightmare of the Wolf,2021
The Dirt,2019
Horse Girl,2020
"Ariana Grande: Excuse Me, I Love You",2020
The Book of Henry,2017
"Bob Ross: Happy Accidents, Betrayal & Greed",2021
