Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
post-office,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
black,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
soon,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
night,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A1,NN
song,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
police-station,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
cola,NN,0,0,NN,N,Y,N,N,C1,C1,0.0,True,False,1,A2,NN
bring,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
lunchtime,NN,0,0,NN,N,N,Y,N,B2,B1,0.0,True,False,1,A2,NN
pajamas,NN,0,0,NN,N,Y,N,N,B3,B2,1.0,False,False,1,A2,NN
come-back,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
policeman,A1,3000,0,NN,N,N,N,Y,A4,A4,2.0,True,False,1,A2,NN
directions,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
pink,A1,3000,0,NN,N,N,N,N,A3,A3,2.0,True,False,1,A2,NN
not-too,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
plane,A1,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,A1,NN
seven,A1,3000,0,NN,Y,Y,N,N,A3,A3,2.0,True,False,1,A1,NN
see-you-soon,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A1,NN
see-you,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A1,NN
chess,NN,0,0,NN,N,N,N,N,A4,A4,1.0,True,False,1,A2,NN
restroom,NN,0,0,NN,N,N,Y,N,C1,B3,0.0,True,False,1,A2,NN
quickly,A1,3000,0,NN,N,N,N,N,A1,A1,2.0,False,False,1,A2,NN
crowded,A2,3000,0,NN,N,N,N,N,NN,NN,2.0,False,False,1,A2,NN
police,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
see-you-later,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A1,NN
son,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A1,NN
rap,NN,0,0,NN,N,N,N,N,B1,B1,1.0,True,False,1,A2,NN
mineral-water,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
spare-time,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
quick,A1,3000,0,NN,Y,N,N,N,A2,A1,2.0,True,False,1,A2,NN
noisy,A2,3000,0,NN,N,Y,Y,N,A4,A4,2.0,True,False,1,A2,NN
queen,A2,3000,0,NN,N,Y,N,N,B1,B1,2.0,True,False,1,A2,NN
long,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
lunch,A1,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,A1,NN
police-officer,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A2,NN
september,A1,3000,0,NN,N,Y,N,N,NN,NN,2.0,True,True,1,A1,NN
